day,frequency,concentration,type,sample,holder,location,repeat,track_id,reference_id,distance(um),Cov_Sum,a_(um),phi_(rad),c,d,G_abs,radius_(m),r2,rmse,inv.rmse,shift_(s),a_error,phi_error,c_error,d_error,x,y,phi_(deg),tan_phi
220216,0.05,0.45/2,GrowDex-Collagen,1,2,1,2.0,0,4.333333333333333,161.48937554101764,6.0579281298295215e-05,0.4068333047936858,-0.0078539816339744,88.23084218848895,-0.0098447577498441,24.440147842972568,1.3190865516662598e-05,0.9441118417321398,0.067244802012837,16.57509827895179,1.849519230769235,0.0025776056180491,0.0060554030916182,0.003534793035576,0.000202155313783,449.9902331050821,187.51141825010347,-0.4499999999999953,-0.0078541431289835
220216,0.05,0.45/2,GrowDex-Collagen,1,2,1,3.0,0,3.8,157.382628457427,0.0001767104768906,0.2610341409832637,0.175591965548097,94.94288365958614,-0.0046261388045322,38.44188674459997,1.3190865516662597e-05,0.8314619801479293,0.0575077226317645,30.49309782259744,2.105288461538463,0.0022016606413969,0.0085389727057151,0.0030229583269279,0.0001728834141211,454.86606978879706,186.59409681227865,10.06067854231252,0.1924806819422801
220216,0.05,0.45/2,GrowDex-Collagen,1,2,2,1.0,0,2.75,175.025539175691,0.0002422727094324,0.1694491954395644,0.2406491811013658,-145.38258131202917,0.0029370061980926,45.704774158215656,1.1552036464851587e-05,0.6577824806137681,0.0498416708830758,28.45406544165281,1.812788461538466,0.0019067591728862,0.0115477062905662,0.0026199809459581,0.0001498370809315,60.295787567214624,88.00607633666037,13.788182420387674,0.2516160130386317
220216,0.05,0.45/2,GrowDex-Collagen,1,2,2,1.0,1,5.0,164.49917661262873,5.101725855782513e-05,0.2146129310245216,0.3306657432657339,-74.80075862383289,0.0005928877695468,56.76815000857889,1.4514487640765104e-05,0.9353863809318822,0.0348258121528046,39.22405176342186,1.8127884615384664,0.0013258305501286,0.0058162377151188,0.0018306567265946,0.0001046955171954,171.58587863773428,128.94165256718216,18.94575151868298,0.3562657118359331
220216,0.05,0.45/2,GrowDex-Collagen,1,2,2,2.0,0,2.6,168.7654112297716,8.98759423766736e-05,0.1384497022701855,0.2382563426708683,-139.38952914838228,0.0036660127895643,57.35160790950832,1.1552036464851587e-05,0.8905540887419701,0.0318826656804701,34.007511886300875,1.5551923076923078,0.0012185061343705,0.0087289645094379,0.0016759503846583,9.584783936815508e-05,58.623914092664094,86.21885725010726,13.65108287726346,0.2447180469470903
220216,0.05,0.45/2,GrowDex-Collagen,1,2,2,2.0,1,3.8333333333333335,141.94766603032826,3.7324504432178696e-05,0.1969234632520098,0.2264418905471834,-69.89920384816786,-0.0014070230740562,62.20611841278424,1.4514487640765104e-05,0.9564677551951482,0.026806213834144,47.12543991512211,1.5551923076923078,0.0010246383289141,0.0049967745474096,0.0014090961525881,8.058640839565043e-05,170.57749321913303,127.68086902765556,12.974164633316946,0.2317563075105278
220216,0.05,0.45/2,GrowDex-Collagen,1,2,2,3.0,0,2.6666666666666665,160.25563357775528,0.0001288324790465,0.1423963174024109,0.1357394406501244,-150.9206873728926,0.0046883985081933,53.82355788107309,1.1552036464851587e-05,0.8406918609970905,0.0386689471283083,28.290156133080934,2.1007692307692323,0.0014808415997955,0.0102095413514092,0.0020326728098381,0.0001162488461319,59.4106303345657,84.38696045765059,7.777297062718655,0.1367621812812464
220216,0.05,0.45/2,GrowDex-Collagen,1,2,2,3.0,1,5.0,174.40025000639116,4.158751970123953e-05,0.2032055516300847,0.2002733281956107,-80.22825056323778,-0.0009049388985686,60.21588860271167,1.4514487640765104e-05,0.9440798323384864,0.0286317134087133,39.6767245071827,2.1007692307692323,0.0010956196641235,0.0054724985163369,0.0015050644797005,8.607485068394426e-05,171.04263787529783,126.41709071550562,11.47481645464689,0.2031233644705977
220216,0.05,0.45/2,GrowDex-Collagen,1,2,3,1.0,0,2.5,206.4107341907499,6.340474013319486e-05,0.1086623948418759,0.0626141930482521,-136.10720262528864,0.0005184643145094,76.53103352645495,1.205073011779295e-05,0.9078269456833036,0.0211944789308065,50.65517739619827,2.2194230769230767,0.0008122598683411,0.0072981718651431,0.0011141134204975,6.371630436221494e-05,33.84580448893973,255.4826228196904,3.5875289992822275,0.0627768618075045
220216,0.05,0.45/2,GrowDex-Collagen,1,2,3,1.0,1,2.0,149.21880131531665,2.6459730219704675e-05,0.1740810834547464,0.1523790887234112,-113.42123629494516,-0.0037942056755447,62.15782264348746,1.3734215842459163e-05,0.9649431293228068,0.0213186034426636,50.9666306209429,2.2194230769230767,0.0008164365118541,0.0046082734623695,0.0011206367387465,6.408937368919015e-05,148.98167332579942,287.0796413530358,8.730678669900978,0.1536954567247193
220216,0.05,0.45/2,GrowDex-Collagen,1,2,3,2.0,0,1.6666666666666667,170.2959224246096,6.884023378791683e-05,0.1235614279856014,0.1929601163107759,-131.28231168422732,-0.0004593791321452,69.14610844282288,1.2050730117792952e-05,0.8966632304319466,0.0246007988508536,44.86103109863779,2.6402884615384616,0.0009414897193202,0.0075721844556245,0.0012931633705721,7.395619634631895e-05,34.26448092310571,253.5352979333618,11.055800278960936,0.1954626533493823
220216,0.05,0.45/2,GrowDex-Collagen,1,2,3,2.0,1,2.5,165.03919878927076,4.258366965505516e-05,0.1738195456757387,0.2635453146996757,-74.11740499161502,-0.0059496134267403,62.69208106156125,1.3734215842459163e-05,0.949848289109744,0.0267756899451185,40.404751817605856,2.6402884615384616,0.0010235034659181,0.0058116590329021,0.0014074935321109,8.049475422784188e-05,149.0832895265448,285.28700861604744,15.100034242738513,0.269973416884525
